title,date,views,platform,type,player_name,image_url,link,sport
Terrific Running Catch ft. Virat Kohli,"17th Jan, 2024",20300,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/379f20f7-9221-4dd7-892e-84fdbe579024/2d8f8913-98dc-473b-a5ec-767bfdf1ddc7/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/3sb2iQND,Cricket
"IND vs AFG 2024, 3RD T20I: Virat Kohli Wicket","17th Jan, 2024",5500,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/24ee868a-1376-4441-a432-30bd036586a4/4c00e264-d9ba-4762-a725-9f1c9216c27f/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/jmBT81fx,Cricket
4 x 4: Placed to perfection ft. Virat Kohli & Yashasvi Jaiswal,"14th Jan, 2024",3100,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/8db6dc49-b37b-4856-9b68-38b2efa887ed/e99058de-59c3-4507-9daa-97c6ada81d7c/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/kSHMEKGu,Cricket
"IND vs AFG 2024, 2ND T20I: Virat Kohli Wicket","14th Jan, 2024",6200,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/5ec554c5-06c7-441a-bf74-1504197213d2/eaeb21e9-8f54-49ad-9956-214339ed382a/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/pjH6FWQK,Cricket
Cracking Start: Virat Kohli gets going in some style,"14th Jan, 2024",4600,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/97958436-9195-43ef-bbd8-a7c81122f4ef/65227040-6fff-4201-aa73-eb85514375d7/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/44RlRKTx,Cricket
Almost! Virat Kohli nearly grabs a stunner in the outfield,"14th Jan, 2024",2600,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/02a83969-709e-467e-b653-fbe06d7386aa/d7708cd5-2079-46c9-b840-93fceb9e18dd/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/JNmiq8gy,Cricket
"Virat Kohli shares the story about his newest text buddy, Novak Djokovic","13th Jan, 2024",39700,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/5b09007c-f8f3-446b-ba69-8345c70ff32a/a05cecc2-5d6a-48d7-9d4d-17234a00268a/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/gFzUdR9W,Cricket
On the mic with Virat Kohli | CWC23 | India vs South Africa,"6th Nov, 2023",159100,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/880892b3-8c91-4cae-b346-00317e0503c2/3f07f30b-cda3-43f4-aba4-f0f21b250823/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/ikwcax7B,Cricket
Practice & Execution | T Dilip decodes Virat Kohli's catch,"9th Oct, 2023",90300,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/9f8f1179-eff1-405f-9cda-37a2e5d71656/ee0a19c6-e1d6-41c8-9c15-fdd96d638401/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/q07ciuim,Cricket
Meet Srinivas - Virat Kohli's very special fan from Chennai,"6th Oct, 2023",24300,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/753efc51-250d-4076-97f0-2ac8b27f0d6a/d0d2652f-473f-4b8e-b6b5-636fbe086241/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/7GDMqe3o,Cricket
Virat Kohli withdraws from first two Tests citing personal reasons,"22nd Jan, 2024",-,international,men,virat kohli,https://assets.bcci.tv/bcci/articles/1705915457_TL_2155050.jpg,https://www.bcci.tv/articles/2024/news/55556088/virat-kohli-withdraws-from-first-two-tests-citing-personal-reasons,Cricket
Virat Kohli steps down as Team India’s Test Captain,"16th Jan, 2022",-,international,men,virat kohli,https://assets.bcci.tv/bcci/articles/1642310956_DM3_4582%20%281%29.JPG,https://www.bcci.tv/articles/2022/news/55555854/virat-kohli-steps-down-as-team-india-s-test-captain,Cricket
"Virat Kohli ruled out of 2nd Test, KL Rahul to lead Team India in his absence","3rd Jan, 2022",-,international,men,virat kohli,https://assets.bcci.tv/bcci/articles/1641198325_TL_1810371.jpg,https://www.bcci.tv/articles/2022/news/5555847/virat-kohli-ruled-out-of-2nd-test-kl-rahul-to-lead-team-india-in-his-absence,Cricket
Virat Kohli to step down as India's T20I captain after World Cup,"16th Sep, 2021",-,international,men,virat kohli,https://assets.bcci.tv/bcci/photo/2021/09/16/3c8e11f2-50ff-47e1-820d-cfbbb101b485/GettyImages-1289683671.jpg,https://www.bcci.tv/articles/2021/news/155084/virat-kohli-to-step-down-as-t20i-captain-after-world-cup,Cricket
Honoured to be awarded the ICC Men’s ODI Cricketer of the Decade: Virat Kohli,"28th Dec, 2020",-,international,men,virat kohli,https://assets.bcci.tv/bcci/articles/1697013879_virat.webp,https://www.bcci.tv/articles/2020/news/147614/honoured-to-be-awarded-the-icc-men-s-odi-cricketer-of-the-decade-virat-kohli,Cricket
ICC award a recognition of perseverance & hard work: Virat Kohli,"28th Dec, 2020",-,international,men,virat kohli,https://assets.bcci.tv/bcci/articles/1697013933_GettyImages-1291720417.webp,https://www.bcci.tv/articles/2020/news/147612/icc-award-a-recognition-of-perseverance-hard-work-virat-kohli,Cricket
Virat Kohli to be rested for last 2 ODIs & T20I series against New Zealand,"30th Sep, 2019",-,international,men,virat kohli,https://assets.bcci.tv/bcci/photo/2019/05/30/4ea0d821-0c49-4fdb-b0b8-9f28b0b62dfa/aaWXCaMz.jpg,https://www.bcci.tv/articles/2019/news/126314/,Cricket
I’ll dive six times in an over for my team: Virat Kohli,"30th Sep, 2019",-,international,men,virat kohli,https://assets.bcci.tv/bcci/articles/1697014815_viratko.webp,https://www.bcci.tv/articles/2019/news/126058/i-ll-dive-six-times-in-an-over-for-my-team-virat-kohli,Cricket
This series was a great advertisement for Test cricket - Virat Kohli,"14th Dec, 2018",-,international,men,virat kohli,https://assets.bcci.tv/test/bcci/photo/2018/11/01/91b24a06-d31a-4b0a-937b-104aefc0f345/gHYjqNBJ.jpg,https://www.bcci.tv/articles/2018/news/99852/,Cricket
Virat Kohli reclaims No. 1 ranking,"14th Dec, 2018",-,international,men,virat kohli,https://assets.bcci.tv/test/bcci/photo/2018/11/01/137440b5-2f81-4555-8b21-33fe8bb31ebe/DYwYFxXg.jpg,https://www.bcci.tv/articles/2018/news/99872/,Cricket
Terrific Running Catch ft. Virat Kohli,"17th Jan, 2024",20300,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/379f20f7-9221-4dd7-892e-84fdbe579024/2d8f8913-98dc-473b-a5ec-767bfdf1ddc7/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/3sb2iQND,Cricket
"IND vs AFG 2024, 3RD T20I: Virat Kohli Wicket","17th Jan, 2024",5500,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/24ee868a-1376-4441-a432-30bd036586a4/4c00e264-d9ba-4762-a725-9f1c9216c27f/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/jmBT81fx,Cricket
4 x 4: Placed to perfection ft. Virat Kohli & Yashasvi Jaiswal,"14th Jan, 2024",3100,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/8db6dc49-b37b-4856-9b68-38b2efa887ed/e99058de-59c3-4507-9daa-97c6ada81d7c/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/kSHMEKGu,Cricket
"IND vs AFG 2024, 2ND T20I: Virat Kohli Wicket","14th Jan, 2024",6200,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/5ec554c5-06c7-441a-bf74-1504197213d2/eaeb21e9-8f54-49ad-9956-214339ed382a/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/pjH6FWQK,Cricket
Cracking Start: Virat Kohli gets going in some style,"14th Jan, 2024",4600,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/97958436-9195-43ef-bbd8-a7c81122f4ef/65227040-6fff-4201-aa73-eb85514375d7/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/44RlRKTx,Cricket
Almost! Virat Kohli nearly grabs a stunner in the outfield,"14th Jan, 2024",2600,international,men,virat kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/resizedimageskirti/3588749423001/02a83969-709e-467e-b653-fbe06d7386aa/d7708cd5-2079-46c9-b840-93fceb9e18dd/1280x720/match/image_compress.jpeg,https://www.bcci.tv/bccilink/videos/JNmiq8gy,Cricket
