title,date,content,link,place,query,category
Agriculture Minister Addresses G-20 Agriculture Ministers Mee,,"Shri Radha Mohan Singh, Union Agriculture Minister today addressed the G-20 Agriculture Ministers Meeting at Istanbul, Turkey. Addressing the meet Shri Singh said that there is need to direct itself more towards the accountability and monitoring of the ongoing initiatives rather adding more. Minister emphasized the need of research in agriculture sector to enhance the production and productivity which also address to contain the price volatility. Minister also focused on the various issues like food security, price volatility, reducing food waste and losses.     Shri Singh apprised of the initiatives of the Government for the benefit of the farmers.  Union Agriculture Minister met Mr. Phil Hogan, EU Agriculture Commissioner; Mr. Gerry Ritz, his Canadian counterpart; Mr. Mehmet Mehdi Eker, Minister of Agriculture of Turkey; and Mr. Tom Vilsack, USDA Secretary on the sidelines of G-20 Meet. 
 Agriculture Minister and Mr Hogan discussed issues of mutual interest. Shri Singh thanked Mr Hogan for lifting the ban on import of Indian mangoes and urged him to quickly resolve the issue of ban on import of other vegetables including Bitter Gourd, Snake Gourd, Okra etc from India. While discussing issues of mutual interest with Mr Ritz, Union Minister sought the expertise of Canadian commercial enterprises in the low cost, energy efficient and ecologically sustainable cold chain technologies in India and invited Canadian investment in this sector. It was also agreed to quickly fix the date for the 4th meeting of the Joint Working Group with a view to take forward the cooperation between the two countries. In interaction with Mr Vilsack, both the ministers reiterated the need for building upon the strong foundation in bilateral relations laid by recent visits of Prime Minister to US and the visit of US President to India. It was agreed to expedite the renewal of MoU between the two countries to take the cooperation forward. Mr Vilsack invited India to join the ""Global Research Alliance ""on Crop and Animal production as well as the ""Climate Smart Alliance "" and offered to write to Union AM outlining the action taken on both the initiatives .   Text of Agriculture Minister Speech ",https://www.icar.org.in/node/7848,,Agriculture,Agriculture
Union Minister of Agriculture & Farmers Welfare inaugurates College of Agriculture	,,"Union Minister of Agriculture & Farmers Welfare, Shri Narendra Singh Tomar inaugurated Academic-cum-Administrative Building and Transit Hostel of the College of Agriculture under Central Agricultural University, (Imphal) at Pasighat, Arunachal Pradesh, today in the presence of Shri Pema Khandu, Chief Minister, Government of Arunachal Pradesh, Shri Tapir Gao, Member of Parliament, Er. Tage Taki, Minister for Agriculture, Horticulture, Dairy & Fisheries, Government of Arunachal Pradesh, Dr. Anupam Mishra, Vice Chancellor, Central Agricultural University, Imphal, Manipur and Dr. A. K. Tripathi, Dean, College of Agriculture, Pasighat, Arunachal Pradesh.   Speaking on the occasion, Shri Tomar expressed hope that the new facilities would encourage and motivate the students to work harder. “Agriculture is the fastest growing sector in the country, and the Government of India is making continuous efforts to make farming much profitable. There will be no constraint of central funding for development of the agriculture sector,” he said, adding that “the setting up of this institute will give an impetus to the development of agricultural education and research in Arunachal Pradesh, along with other North-eastern states. There is unlimited potential for organic farming in the North-eastern states, for which the central government and the state government are working together. Giving importance to agriculture in bringing about development and security of livelihood in the Northeast, farming activities are being strengthened by agricultural education and research,” he said. Shri Pema Khandu, Chief Minister, Government of Arunachal Pradesh credited the central government “for uplifting the image of farmers from ‘poor’ to ‘proud entrepreneurs’ in a span of eight years with its farmer-centric flagship programmes.”Speaking at the function in College of Agriculture in East Siang district on Thursday, Khandu said that “many young entrepreneurs coming up to avail benefits of both central and state flagship programmes are keen to invest in agriculture and allied sectors.”  On this occasion, a two-day Kisan Mela was also organised wherein around 850 farmers attended the programme. In the Mela, 20 stalls of public and private sectors showcased their technologies/products. A farmers-scientist interface was also held to get the feedback of farmers on the adoption of improved agricultural technologies of potato and tuber crop cultivation. Dr. Rajesh Kumar, Director, ATARI, Guwahati, officials from 8 KVKs, ICAR Research Complex, Basar, Arunachal Pradesh, Assam Agricultural University, around 65 students, 30 line department officials participated in the Kisan Mela. (Source: College of Agriculture, Central Agricultural University (Imphal), Pasighat, Arunachal Pradesh) ",https://www.icar.org.in/union-minister-agriculture-farmers-welfare-inaugurates-college-agriculture,,Agriculture,Agriculture
Union Minister of Agriculture & Farmers Welfare inaugurates College of Agriculture,,"Union Minister of Agriculture & Farmers Welfare, Shri Narendra Singh Tomar inaugurated Academic-cum-Administrative Building and Transit Hostel of the College of Agriculture under Central Agricultural University, (Imphal) at Pasighat, Arunachal Pradesh, today in the presence of Shri Pema Khandu, Chief Minister, Government of Arunachal Pradesh, Shri Tapir Gao, Member of Parliament, Er. Tage Taki, Minister for Agriculture, Horticulture, Dairy & Fisheries, Government of Arunachal Pradesh, Dr. Anupam Mishra, Vice Chancellor, Central Agricultural University, Imphal, Manipur and Dr. A. K. Tripathi, Dean, College of Agriculture, Pasighat, Arunachal Pradesh.    Speaking on the occasion, Shri Tomar expressed hope that the new facilities would encourage and motivate the students to work harder. “Agriculture is the fastest growing sector in the country, and the Government of India is making continuous efforts to make farming much profitable. There will be no constraint of central funding for development of the agriculture sector,” he said, adding that “the setting up of this institute will give an impetus to the development of agricultural education and research in Arunachal Pradesh, along with other North-eastern states. There is unlimited potential for organic farming in the North-eastern states, for which the central government and the state government are working together. Giving importance to agriculture in bringing about development and security of livelihood in the Northeast, farming activities are being strengthened by agricultural education and research,” he said. Shri Pema Khandu, Chief Minister, Government of Arunachal Pradesh credited the central government “for uplifting the image of farmers from ‘poor’ to ‘proud entrepreneurs’ in a span of eight years with its farmer-centric flagship programmes.”Speaking at the function in College of Agriculture in East Siang district on Thursday, Khandu said that “many young entrepreneurs coming up to avail benefits of both central and state flagship programmes are keen to invest in agriculture and allied sectors.”  On this occasion, a two-day Kisan Mela was also organised wherein around 850 farmers attended the programme. In the Mela, 20 stalls of public and private sectors showcased their technologies/products. A farmers-scientist interface was also held to get the feedback of farmers on the adoption of improved agricultural technologies of potato and tuber crop cultivation. Dr. Rajesh Kumar, Director, ATARI, Guwahati, officials from 8 KVKs, ICAR Research Complex, Basar, Arunachal Pradesh, Assam Agricultural University, around 65 students, 30 line department officials participated in the Kisan Mela. (Source: College of Agriculture, Central Agricultural University (Imphal), Pasighat, Arunachal Pradesh) ",https://www.icar.org.in/union-minister-agriculture-farmers-welfare-inaugurates-college-agriculture-0,,Agriculture,Agriculture
"Under the leadership of Prime Minister Modi, Agriculture Ministry is determined to accomplish goal of doubling farmers’ income by 2022: Shri Radha Mohan Singh","18th March 2018,  Pusa","The developments in the field of agriculture and the efforts for the betterment of farmers made under the guidance of Prime Minister Shri Narendra Modi are bearing fruits. The efforts of the last 3 years have brought about a qualitative change in the life of farmers. The Modi government has brought about a new methodology and a transparent work culture. This was stated by the Union Minister of Agriculture and Farmers Welfare Shri Radha Mohan Singh at the Valedictory function of the KrishiUnnatiMela 2018.    Shri Singh further said that the government has acted in a time bound manner under the guidance of Prime Minister Shri Narendra Modi. The schemes for farmers’ welfare are being implemented in mission mode. The new methodology of good governance, new ideas and an improvement oriented vision will pave the way for modernisation of farming in a new India.      The Modi government has been successful in changing the mind-sets of farmers and increasing awareness among them. To improve the financial status of farmers, Prime Minister Shri Narendra Modi has kept a goal before the country of doubling farmers’ income by 2020. This is the first time that the Prime Minister has put a concrete goal of welfare of farmers. Under the leadership of PM Modi, the Agriculture Ministry is determined to accomplish this goal by 2022 and is working with full commitment and honesty to achieve this goal.   Shri Radha Mohan Singh said that the central government is working with speed towards doubling farmers’ income by 2022. An inter-ministerial committee has been constituted under the chairmanship of CEO of National Rainfed Area Authority, Agriculture cooperatives and Farmers Welfare Department on 13.04.2016. This committee has beengiving suggestionson various interventions and processes to be followed which will be implemented through the state governments. Among the dignitaries present on the occasion of the valedictory function of the Krishi Unnati Mela 2018 were Shri Parshottam Rupala, Minister of State of Agriculture; Smt. Krishna Raj, Minister of State of Agriculture; Uttar Pradesh Agriculture Minister Shri Surya Pratap Shahi; Secretary, DARE & Director General, ICAR, Dr.Trilochan Mohapatra; CEO National Rainfed Area Authority Shri Ashok Dalwai. (PIB Release ID: 1525034) ",https://www.icar.org.in/node/10059, New Delhi,Agriculture,Agriculture
State Agricultural Universities,-,  ,https://www.icar.org.in/state-agricultural-universities,-,Agriculture,Agriculture
Union Agriculture Minister inaugurates National Conference on Agriculture for Rabi Campaign-2022,7th September 2022,"Need to move forward by analysing climate change: Shri Narendra Singh Tomar Natural farming has to be increased to take our land and country forward: Shri Tomar Union Agriculture Minister, Shri Narendra Singh Tomar today inaugurated the National Conference on Agriculture for Rabi Campaign 2022-23 today at NASC, Pusa, New Delhi.  Addressing the Conference, he highlighted that as per 4th Advance Estimates (2021-22), production of food grains in the country is estimated at 3157 lakh tonnes which is higher by 50 lakh tonnes than the production of food grain during 2020-21. Total pulses and oilseeds production during 2021-22 is estimated at record 277 and 377 lakh tonnes respectively.  Shri Tomar said that the Central and State Governments are jointly discharging their responsibilities in the agriculture sector. A lot of work has been done in the country in terms of production, due to which there has been an increase in the production of food grains, pulses and oilseeds. Today, the priority is to tackle and solve the challenges before agriculture. In this regard, he mentioned the Pradhan Mantri Fasal Bima Yojana, under which Rs 1.22 lakh crore has been given to farmers as compensation for the loss of their crops. Shri Tomar said that all the farmers should be brought under the ambit of this scheme. This will especially make small farmers feel secure. He said that the productivity of the soil is decreasing due to the use of chemical fertilizers, hence organic and natural farming is being promoted. Prime Minister Shri Modi's emphasis is also on natural farming. Under the leadership of the Prime Minister, the central government is taking forward the agriculture sector. It is also being expanded through Krishi Vigyan Kendras. State governments also need to make more efforts in this direction.  The Minister expressed satisfaction on the success of Mustard Mission during first two years of its implementation.  Mustard production has jumped by 29% from 91.24 to 117.46 lakh tonnes in last two years.  The productivity saw 10% jump from 1331 to 1458 kg/ha. The area under rapeseed & mustard has increased by 17% from 68.56 in 2019-20 to 80.58 lakh ha in 2021-22. He appreciated the farming community and the State Governments for this commendable achievement. The increased mustard production will help in bridging the gap of imports of palm and sunflower oil. Government is now implementing Special Soybean and Sunflower Missions on the pattern of Mustard Mission. Shri Tomar said that the Central Government has started work on Digital Agriculture to bridge the gap between the farmers and the Government so that the farmers get the benefits of the government schemes transparently. There is also a need to work together on the digital agriculture mission. He also said that with the efforts of the Prime Minister, the year 2023 will be celebrated as the International Year of Millets. India is going to lead this programme all over the world. The effort of the government is to increase the production and export of millets and increase the income of the farmers. He urged them to work towards promoting the nutritious cereals in the states. On this occasion, the Agriculture Minister released two books. The National targets for total food grain production has been set at 3280 lakh tonnes for the year 2022-23 in which rabi season will contribute 1648 lakh tonnes. The strategies would be to enhance area through inter-cropping, crop diversification, and productivity enhancement by introducing High Yield Varieties (HYVs), adoption of suitable agronomic practices in low yielding regions, utilizing residual moisture, early sowing and lifesaving irrigation for rabi crops. The objective of this Conference is to review and assess the crop performance during the preceding crop seasons and fix crop-wise targets for rabi season in consultation with State Governments, ensure supply of critical inputs and facilitate adoption of innovative technologies with a view to enhance production and productivity of the crops.  The priority of Government is agro-ecological based crop planning for diversion of land from excess commodities like rice and wheat to deficit commodities like oilseeds and pulses and high value export earning crops. During the 1st National Conference of Chief Secretaries held at Dharamshala in June, 2022, the Prime Minister set the agenda for crop diversification and self-sufficiency in pulses and oilseeds in consultation with States. Addressing the Conference, Shri Kailash Chaudhary, Minister of State for Agriculture and Farmers Welfare informed that the Government has taken various initiatives which include e-NAM, FPO and digital agriculture to provide its benefits to the farmers. For promotion of natural farming systems and to protect farmers’ interest in new system of cultivation, Krishi Vigyan Kendra (KVKs) and other Research & Development institutions will be the knowledge centres to provide technical know-how. Shri Manoj Ahuja, Secretary Department of Agriculture and Farmers Welfare informed that the country is maintaining an increasing trend in food grains production since 2015-16. The total food grains production has increased by 25% in last seven years from 251.54 to 315.72 million tonnes.  Oilseeds and pulses have followed the same trend. The exports of agricultural products (including marine and plantation products) for the year 2021-22 have crossed USD 50 billion, highest ever achieved for agriculture exports.  Dr. Himanshu Pathak, Secretary (DARE) and DG, ICAR highlighted need for adopting climate resilient practices. He presented global perspective of climate change and adaptation strategies being put in place. Smt. Arti Ahuja, Secretary, Department of Fertilizers stressed upon the need of timely supply of fertilizers. She shared various steps taken by the Department to ensure timely supply of fertilizers. Shri Abhilaksh Lekhi, Additional Secretary, DAFW said that there is a need to analysis the strategies of the digital agriculture for current rabi season. Smt. Chhavi Jha, JS (Drought Management) presented details of measures as per Drought Manual that States need to adopt in case of a drought situation.  States should come forward to help the farmers in distress and adopt contingency planning for crop production. Smt. Shubha Thakur, JS (Crops & Oilseeds) presented the vision for next five years to make the country self-sufficient in pulses and oilseeds commodities. It is proposed to increase area expansion by 14% and productivity enhancement by 23% to achieve the target of 325 lakh tonnes for pulses by 2025. Shri Pramod Kumar Meherda, JS (Information Technology) presented a mission mode project will be implemented to bring the benefit of digital technology and hi-tech solutions to all farming community especially to small and marginal farmers in collaboration with the State Governments. This was followed by an interactive session with Agriculture Production Commissioners and Principal Secretaries of all the States for increasing area coverage, production and productivity during rabi season. Source: (PIB Release id: 1857536) ",https://www.icar.org.in/union-agriculture-minister-inaugurates-national-conference-agriculture-rabi-campaign-2022, New Delhi,Agriculture,Agriculture
Agriculture Minister Inaugurated Brain Storming Programme for Optimizing Talent Search in Agriculture,"16th January,  2015","Shri Radha Mohan Singh, Union Minister for Agriculture, inaugurated a two-day brain storming programme ‘optimizing talent search for the national agricultural research and education system’ at ICAR-National Dairy Research Institute, Karnal here today.  In his address, Agriculture Minister stressed upon the need to attract youth to agriculture and to make the scientists’ selection process more transparent and effective. He also emphasized the role of local and need based research and said that it should be the integral part of the career development process of scientists. He informed that Agriculture Ministry has a plan to introduce soil health card to farmers for improving the agricultural production and policies are being framed to increase the availability of water for irrigation purpose, especially for small farmers. Agriculture Minister also announced the establishment of two National Breeding Centers, one in southern India and another in Northern India, to augment the breeding of dairy animals in the country. He also interacted with the students of NDRI. Dr. Sanjeev Kumar Balyan, Union Minister of State for Agriculture stressed upon the need of attracting researchers and scientists of Indian origin working in the premier foreign laboratories to the national agricultural research and education system. ASRB should frame policies to attract such talent as part of the brain gain, he added. Dr. Balyan encouraged the NDRI scientists to strengthen work in the field of Sex Semen Technology to further boost the breeding of elite animals in the country.   Sh. Karan Dev Kamboj, Minister of State, Government of Haryana also graced the occasion. Dr. S. Ayyappan, Secretary, DARE and Director General, ICAR stressed that the score card of scientists for carrier development should be suitably modified from time to time as per the need. He complimented ASRB for providing quality human resource to ICAR system. Prof. D.P. Agarwal, former Chairman, UPSC shared his views on the present education system and emphasized that we should all work together to find ways to bring in structured reforms in the education system. Dr. Gurbachan Singh, Chairman, ASRB said that the present brainstorming-cum-workshop is an attempt to frame the policies to bring the best talent in the National Agriculture Research System. In this direction, more efforts would be made to make the recruitment process more transparent. Dr. A.K. Srivastava, Director and Vice-chancellor, NDRI informed the gathering about the recent achievements of this premier Institute in cloning of dairy animals, ovum pick-up technique, launching of farmers’ school and success of women self-help groups. He also informed that in the year 2014, the institute has transferred about 20 technologies to dairy/ animal feed industry. The brain storming programme is being organized by ASRB, an apex body involved in the recruitment of agriculture scientists in the country. More than 70 experts from the field of agriculture research, education and extension are participating in the event. (Source: ICAR-NDRI, Karnal) ",https://www.icar.org.in/node/7495, Karnal,Agriculture,Agriculture
Union Minister of State for Agriculture and Farmers’ Welfare inaugurates Kisan Mela & Agriculture Innovations Day at CAZRI,23rd September 2017,"Shri G.S. Shekhawat, Union Minister of State (MoS) for Agriculture and Farmers’ Welfare inaugurated Kisan Mela and Agriculture Innovation Day at ICAR-Central Arid Zone Research Institute, Jodhpur today. He stressed upon doubling of farmers’ income by 2022 and further mentioned that improving agricultural productivity by adopting new and innovative technologies developed by CAZRI and elsewhere would play a catalytic role. Shri Shekhawat emphasized to place a high priority for enhancing resilience in arid agriculture in view of prevalent adverse agro-climatic conditions in western Rajasthan.  Dr. O.P. Yadav, Director, ICAR-CAZRI briefed about the recent activities and achievements of the Institute He mentioned that promotion of water-efficient crops and modern methods of irrigation are must to sustain the agricultural growth in the region. He also emphasized that the country has produced 274 m tonnes of food grains and 287 m t of fruits and vegetables during the year 2016-17 and the country is the largest producer of milk in the world. Dr. Balraj Singh, Vice Chancellor of Agriculture University, Jodhpur and Dr. NV Patil were the Special Guests. They appreciated the remarkable efforts of the institute in demonstration, transfer and upscaling of improved technologies in a challenging production environments of arid areas. Dr. G.L. Keshwa, Vice Chancellor of Agriculture University, Kota; Dr. P.S. Rathore, Vice Chancellor of Agriculture University, Jobner and Dr. A.K. Gehlot, Former Vice Chancellor of RAJUVAS, Bikaner,  Dr. Arun Tomar, Director, CSWRI, Avikanagar; Dr. A.K. Rai, Director, DRMR, Bharatpur, Dr. S.K. Singh, Director, ATARI, Jodhpur; Sh. Gaur, Cairn Energy, Barmer and Sh. Thanvi, General Manager, NABARD,  were also expressed their views on this occasion. Seven farmers (Captain Babu Khan, Babu Lal Suthar, Vijay Singh, Ram Chander, Gordhan Singh, Govind Ram and Mala Ram) were recognized CAZRI Kisan Mitra in acknowledgement of their significant contribution in adoption and upscaling of agricultural improved technologies. Farmers producing best crops of pearl millet, mungbean, mothbean and clusterbean were also awarded. A ‘Scientist-Kisan Sangoshthi’ was organized in which more than 100 farmers’ queries were addressed by experts and several farmers also shared their experiences of undertaking modern agriculture to further enhance their income. Exhibitions showcasing agricultural technologies suitable for drier regions were put up.. More than 3000 farmers including 900 women farmers from Western Rajasthan participated in the event. (Source: at ICAR-Central Arid Zone Research Institute, Jodhpur) ",https://www.icar.org.in/node/10532, Jodhpur,Agriculture,Agriculture
Agriculture Minister Addressed Interactive Meeting with Agriculture Experts,"9th January,  2015","Shri Radha Mohan Singh, Union Minister for Agriculture, in an interactive meeting addressed Vice Chancellors of SAUs in Karnataka, Directors of ICAR Institutes based in Bengaluru, Secretaries of the Departments of Agriculture, Horticulture, Animal Husbandry and Fisheries, Government of Karnataka and their respective Directors, Directors of Line Departments and selected Programme Coordinators of KVKs of the State of Karnataka. The interaction meeting was held at ICAR-ZPD, Zone VIII, Hebbal, Bengaluru here today. He interacted with the participants to take stock of the progress in agriculture and allied sectors in Karnataka. During the discussion, Agriculture Minister emphasized the importance of taking technologies to farmers. This, he said, requires better coordination at the district level. He expressed that there should be a quarterly meeting with all the line departments, development departments, Director of Extension, Director of Research of concerned SAU and KVK working in the District to transfer the new technologies effectively among farmers. Shri Singh also directed concerned officials to take quick and appropriate actions on KVKs that are not implementing the mandated activities to benefit the farmers. The Agriculture Minister expressed overall satisfaction with the progress by different development departments in the state.    Dr. S.Ayyappan, Secretary, DARE and Director General, ICAR welcomed the Agriculture Minister and participants and briefed about various activities of ICAR Institutes working in Karnataka. (Source: ICAR-Zonal Project Directorate, Zone VIII, Bengaluru) ",https://www.icar.org.in/node/7489, Bangaluru,Agriculture,Agriculture
Union Minister of Agriculture and Farmers Welfare Laid foundation Stone for College of Agriculture in Meghalaya,"15th February 2016,  Umiam","Shri Radha Mohan Singh, Union Minister for Agriculture and Farmers Welfare laid foundation stone for College of Agriculture here today under Central Agricultural University, Imphal. He also inaugurated new academic block at College of Post Graduate Studies, Umiam. Addressing the gathering of faculty and students, he emphasized the important role of organic farming in enhancing farmer income vis-à-vis soil fertility and human health and desired the replication of Sikkim model in other north- eastern states. He also visited laboratory facilities, classrooms and expressed satisfaction over academic activities during visit to various schools in the College.   Dr. Sanjeev Kumar Balyan and Shri Mohanbhai Kalyanjibhai Kundariya, Union Ministers of State for Agriculture and Farmers Welfare also graced the occasion. Prof. M. Premjit Singh, Vice Chancellor, Central Agricultural University, Imphal in his address welcomed Union Agriculture and Farmers Welfare Minister, Union Ministers of State for Agriculture and Farmers Welfare and other dignitaries. Dr. S. V. Ngachan, Director, ICAR Research Complex for NEH Region, Umiam, Meghalaya, was also present on the occasion. (Source: Central Agricultural University (Imphal),Umiam, Meghalaya) ",https://www.icar.org.in/node/4840, Meghalaya,Agriculture,Agriculture
"Technical Seminar on “Recent Advances in Mango Production, Processing and Marketing Opportunities” @Bharat Ka Amrut Mahotsav	","5th October,  2021","The ICAR-Central Coastal Agricultural Research Institute, Goa organized the Technical Seminar on “Recent Advances in Mango Production, Processing and Marketing Opportunities” today. The Seminar was jointly organized with the Goa State Council for Science & Technology (GSCS&T) and National Bank for Agriculture and Rural Development (NABARD) under the Gramya Vikas Nidhi.           In his inaugural address, the Chief Guest, Dr. Tariq Thomas, I.A.S., Secretary, DST& WM, Government of Goa appreciated the efforts initiated for successfully getting GI registration of “Mankurad” Mango. Earlier, in his welcome address, Dr. Parveen Kumar, Director, ICAR-CCARI, Goa outlined the importance of Geographical indications of “Mankurad” Mango for the state of Goa. The main objective of the Seminar was to give impetus for seeking the Geographical Indication (GI) Registration for “Mankurad” Mango. The Seminar organized as a part of the “Bharat Ka Amrut Mahotsav” to commemorate 75 Years of India’s Independence registered participation by 45 Mango Farmers along with the senior officials of GSCS&T; State Agricultural Department and Institute’s Staff Members. (Source: ICAR-Central Coastal Agricultural Research Institute, Goa) ",https://www.icar.org.in/node/5737, Goa,Mango,Agriculture
Effective Management of shoot gall psylla doubled the production of mango,-,"Amongst various insect-pests, shoot gall psylla, Apsylla cistellata Buckton (Psyllidae: Homoptera) is a devastating pest of mango causing formation of galls on the leaf axils which result in inhibition of inflorescence and most of the affected branches later dry up. According to an estimate, mango orchards in more than 4,000 ha area are badly affected with incidence of shoot gall psylla in Dehradun district of Uttarakhand. From last one decade, the incidence of shoot gall psylla has increased considerably in Dehradun. Earlier, monocrotophos, dimethoate and quilanphos insecticides  recommended for the control of shoot gall psylla these insecticides are not giving any relief to the farmers from the last 6-7 years, may be due to continuous use of these insecticides and change in agro environmental conditions.   Krishi Vigyan Kendra, Dehradun approached   ICAR-Central Institute of Sub Tropical Horticulture, Lucknow for effective management of shoot gall psylla in mango. The Institute suggested that thiamethoxam 1 g/liter of water + profenophos 2 ml/ liter of water + sticker 1 2 ml/ liter of water effectively manages of shoot gall psylla. Demonstrations conducted along with earlier recommended insecticides in which two spray of thiamethoxam 1 g/ liter of water + profenophos 2 ml/ liter of water have been reduced the incidence of shoot gall psylla up to 90 % in most affected orchard. Technology The insecticides i.e. thiamethoxam 1 g/ liter of water + profenophos 2 ml/ liter of water + sticker 1/ 2 ml/ liter of water have been found most promising in management of shoot gall psylla in mango. Two applications of both the insecticides were suggested, first spraying should be done in third week of August and second spraying be done 15 days after first spraying. The spraying of these insecticides by the farmers on the recommendation of KVK, Dehradun not only managed the incidence of shoot gall psylla but also doubled the productivity of mango.    Impact of technology Two Spraying of recommended insecticides were done by the farmers of Badwala village of Vikasnagar block of Dehradun in 21 ha area in August-September, 2013. Farmers harvested about 4000 Q. mango from 2100 trees in June-August, 2014. Two spraying of recommended insecticides have been applied by the farmers of 24 villages of Vikasnagar and Sahaspur blocks of Dehradun in about 200 ha area. The spraying of these insecticides significantly reduced the incidence of shoot gall psylla and increased the productivity of mango. According to an estimate and data recorded, farmers harvested about 40,000 Q. mango from 200 ha area in June-August, 2015. In the the last three years area has been increased from 21 ha in 2013 to 1,200 ha in 2015. According to an estimate and campaign organized in August, 2016 by KVK, Dehradun, it is expected that about more than 2,000 ha area will be covered under management of shoot gall psylla in 2016. The productivity of mango increased from 9.6 MT/ ha to 20.0 /per ha. The visible impact reflected due to technological intervention on management of shoot gall psylla at Badwala village on 2,100 mango trees during August-September, 2013 completely changed the mindset of neighbouring farmers. Effective management of shoot gall psylla in mango from 2013 to 2016 enhanced the income of farmers. Data recorded from the mango orchards and interaction held with the farmers revealed that about 6.0 crore additional income was earned by the farmers due to management of shoot gall psylla in mango from the last three years. (Source: Krishi Vigyan Kendra, Dehradun) ",https://www.icar.org.in/node/4164,-,Mango,Agriculture
