title,date,content,player_name,image_url,link,sport
Virat Kohli 11/05/1988,"28 December, 2020",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/i2hx39arjh0wmpqf5kip,https://www.icc-cricket.com/news/virat-kohli-bags-two-top-honours-at-the-icc-awards,Cricket
Virat Kohli 11/05/1988,"18 January, 2018",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/jtkqa5ivijcbuyv11fag,https://www.icc-cricket.com/media-releases/icc-awards-virat-kohli-named-cricketer-of-the-year,Cricket
Virat Kohli 11/05/1988,"19 April, 2018",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/zvwurd9dp4k3m72mx820,https://www.icc-cricket.com/news/playing-county-cricket-will-improve-my-game-virat-kohli,Cricket
Virat Kohli 11/05/1988,"5 April, 2018",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/uvivf3idth7mjl2sarai,https://www.icc-cricket.com/news/i-wanted-to-take-a-complete-break-virat-kohli,Cricket
Virat Kohli 11/05/1988,"28 August, 2022",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/d0hsnee6eoiuokbq3mnu,https://www.icc-cricket.com/news/100-and-counting-revisiting-virat-kohlis-five-best-t20i-innings,Cricket
Virat Kohli 11/05/1988,"13 May, 2018",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/pfbkmsdhkb00lirkuq0k,https://www.icc-cricket.com/news/always-loved-batting-with-ab-de-villiers-virat-kohli,Cricket
Virat Kohli 11/05/1988,"15 March, 2018",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/uos2xu6rmq9h9p8tw6oi,https://www.icc-cricket.com/news/i-have-started-to-listen-to-my-body-virat-kohli,Cricket
Virat Kohli 11/05/1988,"25 February, 2018",,Virat Kohli,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/ktubjmyua3s72ccs06dy,https://www.icc-cricket.com/news/mace-in-india-8-virat-kohli-stacks-up-the-doubles,Cricket
Rohit Sharma 04/30/1987,"20 February, 2022",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/dugwrguhgdfsqk5swi44,https://www.icc-cricket.com/news/world-reacts-as-rohit-sharma-is-appointed-indias-test-captain,Cricket
India,"26 October, 2018",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/dmmlebnsxsbtoprdbp7d,https://www.icc-cricket.com/news/india-recall-rohit-sharma-murali-vijay-for-australia-tests,Cricket
Virat Kohli 11/05/1988,"19 February, 2022",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/yltbeqhyge1h7ld336j9,https://www.icc-cricket.com/news/rohit-sharma-appointed-as-indias-full-time-test-captain,Cricket
India,"30 October, 2018",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/aisqe7geqkzlhlv2d13e,https://www.icc-cricket.com/news/ive-never-thought-about-double-hundreds-rohit-sharma,Cricket
India,"17 September, 2018",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/gfiiru9occmxnredswku,https://www.icc-cricket.com/news/excited-by-captaincy-but-also-a-bit-nervous-rohit-sharma,Cricket
India,"12 December, 2020",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/n3pt4xlnnm3zggmy6hen,https://www.icc-cricket.com/news/rohit-sharma-set-to-fly-to-australia-after-clearing-fitness-test,Cricket
Rohit Sharma 04/30/1987,"10 August, 2023",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/zr4s0oz22dsr1vtxg08t,https://www.icc-cricket.com/tournaments/cricketworldcup/news/rohit-sharma-admits-to-indias-issue-ahead-of-cwc23,Cricket
India,"8 November, 2019",,Rohit Sharma,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/uhfppbtzsbrythoka4cw,https://www.icc-cricket.com/news/rohit-sharma-at-100-the-hitmans-top-records,Cricket
Sachin Tendulkar 04/24/1973,"24 April, 2018",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/i1uxmlgkcawcm0jjdwne,https://www.icc-cricket.com/news/ontheup-happy-birthday-sachin-tendulkar,Cricket
Sachin Tendulkar 04/24/1973,"29 August, 2018",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/qlidh5sxknqdbatnztn8,https://www.icc-cricket.com/tournaments/cricketworldcup/news/sachin-winning-world-cup-was-best-moment-of-my-life,Cricket
Sachin Tendulkar 04/24/1973,"24 April, 2018",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/xfrfjexj5kacwa3a75tc,https://www.icc-cricket.com/tournaments/cricketworldcup/news/sachin-tendulkar-icc-cricket-world-cup-record-breaker,Cricket
Sachin Tendulkar 04/24/1973,"24 April, 2018",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/flh7y0vhcoqkvrfcxlaw,https://www.icc-cricket.com/news/45-reasons-why-we-love-sachin-part-three,Cricket
Sachin Tendulkar 04/24/1973,"18 February, 2020",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/gqjnu0pvuoezsls2arf7,https://www.icc-cricket.com/news/sachin-tendulkar-world-cup-victory-lap-awarded-laureus-honour,Cricket
India,"18 July, 2019",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/poa8nn4ynf3iolpfzqqe,https://www.icc-cricket.com/news/icc-hall-of-fame-sachin-tendulkar,Cricket
Sachin Tendulkar 04/24/1973,"24 April, 2020",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/ft4rpdjwlhrzikjjqzqw,https://www.icc-cricket.com/news/sachin-tendulkar-top-odi-innings,Cricket
Chris Gayle 09/21/1979,"23 April, 2018",,Sachin Tendulkar,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/oi1kvqf34fimimjzyv9k,https://www.icc-cricket.com/news/ontheup-sachins-game-of-street-cricket-and-mirs-message,Cricket
Mithali Raj 12/03/1982,"8 June, 2022",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/j0rd6tqncallmxg43wpl,https://www.icc-cricket.com/news/mithali-raj-the-record-breaker,Cricket
