title,date,content,player_name,image_url,link,sport
"Winning Olympic Games gold is more precious than breaking 90m barrier, says star javelin thrower Neeraj Chopra","May 17, 2024","Bhubaneswar

Olympic and world champion Neeraj Chopra said he was focused to excel at the Paris Olympic Games starting July 26 in France. “Winning Olympic Games gold is more glorious than breaking the 90m barrier,” the champion javelin thrower said here on Wednesday. “I will certainly break that barrier (90m) but right now I’m mentally; physically and emotionally focused to make a big impression at the Paris Games.”

Competing in his first domestic competition after winning gold at the 2020 Tokyo Olympic Games held in 2021 in Japan, star javelin thrower comfortably won gold medal here in Bhubaneswar with a throw of 82.27m. “I was expecting good competition from Manu DP. But as the competition progressed Manu DP wasn’t able to get a good rhythm to cross 85m,” the 26 years old world champion explained.

Manu DP of Karnataka was second. Uttam Patil from Maharashtra was third with a throw of 78.39m.

Asian Games medalist and local hero, Kishore Kumar Jena finished fifth with a throw of 75.49m.

Shivpal Singh, another prominent throw was eliminated in the preliminary round. Only the top eight advanced to the medal round.

Neeraj Chopra opened his 2024 season with second place finish (88.36m) at the Doha Diamond League.

After domestic competition here in Bhubaneswar, he will compete in Europe to prepare for the Paris Olympic Games.

In preparation for the Olympic Games, he has chalked his plans. He will compete on May 28 in Ostrava (Czech Republic) and Turku (Finland) in June. Thereafter, he will assess his fitness. “I will see how my body and mind reacts to high quality competitions and then take a call, “ he disclosed.

Neeraj Chopra’s personal best and national record of 89.94m was recorded in 2022. The champion thrower said he was working hard and on a good day should be able to breach 90m. “I prefer to win and not think of distance,” he explained.

Known as golden boy of Indian track and field, Neeraj Chopra, was excited to see youngsters watching athletics at Bhubaneswar’s Kalinga Stadium. “I’m excited to see so many fan followers at the stadium,” he added.

Results:

Men: 100m: 1. Gurindervir Singh (Punjab) 10.35, 2. Animesh Kujur (Odisha) 10.50, 3. Harjit Singh (Punjab) 10.56; 400m: 1. Muhammed Ajmal (Kerala) 45.91, 2. Santhosh Kumar T. (Tamil Nadu) 46.48, 3. Vikrant Panchal (Haryana) 46.62; 1500m: 1. Mehedi Hassan (Assam) 3:42.82, 2. Abhishek Singh Thakur (Madhya Pradesh) 3:43.49, 3. Yoonus Shah (UP) 3:44.25; 10000m: 1. Mohan Saini (Goa) 30:41.65, 2. Puneet Yadav (Har) 30:42.78, 3. Ankit Deshwal (Har) 30.44.32; Triple jump: 1. Praveen Chithravel (TN) 16.79m, 2. Eldhose Paul (Ker) 16.59m, 3. Mohammed Salahuddin (TN) 16.25m; Javelin: 1. Neeraj Chopra (Har) 82.27m, 2. Manu D.P. (Kar) 82.06m, 3. Uttam Patil (Mah) 78.39m.

Women:

100m: 1. Sneha S.S. (Kar) 11.63, 2. Giridharani Ravikumar (TN) 11.67, 3. Srabani Nanda (Odi) 11.76; 400m: 1. M.R. Poovamma (kar) 53.32, 2. Summy (Har) 53.46, 3. Vithya Ramraj (TN) 53.52;

1500m: 1. Akshana (MP) 4:23.65, 2. Nikita Sharma (HP) 4:25.05, 3. Amandeep Kaur (Pun) 4:28.10; 10000m: 1. Soniya (Ukd) 37:15.29, 2. Pooja Yadav (UP) 37:17.44, 3. Prajakta Godbole (Mah) 37: 27.34; Hammer: 1. Harshita Sehrawat (Del) 59.10m, 2. Tanya Chaudhary (UP) 56.51m, 3. Manpreet Kaur (Pun) 56.4m; High jump: 1. Abhinaya Shetty (Kar) 1.77m, 2. Angel Devasia (Ker) 1.74m, 3. Most Ritu Akhtar (Ban) 1.71m; Heptathlon (after seven events): 1. Agasara Nandini (Tel) 5460, 2. Anamika K.A. (Ker) 4997, 3. Deepika S. (TN) 4817.",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2024/05/Neeraj-Article-banner-1.jpg,https://indianathletics.in/winning-olympic-games-gold-is-more-precious-than-breaking-90m-barrier-says-star-javelin-thrower-neeraj-chopra/,Athletics
Star javelin throw Neeraj Chopra adds spice to domestic competition in Bhubaneswar,"May 11, 2024","Bhubaneswar

While the crore group of 400m runners are raring to go for the season first domestic track and field competition starting Sunday here at Bhubaneswar’s eight-lane Kalinga Stadium in Odisha, main attraction will be men’s javelin throw as Olympic and world champion Neeraj Chopra will compete in Bhubaneswar. It will be the first time since the 2020 Tokyo Olympic Games, Chopra will be seen in action on the India soil.

Asian Games medalist Kishore Kumar Jena will also compete in four-day 27th National Federation Senior Athletics Competition, a Paris Olympic Games qualification event. The competition has attracted more than 700 athletes, including 180 female athletes.

Both Chopra and Jena have qualified for the Paris Olympic Games and a domestic meet in Bhubaneswar will be part of their Olympic Games preparation.

Last night at Doha Diamond League, a season opening competition, Chopra claimed second position behind Jacub Vadlejch (88.38m) of Czech Republic with a throw of 88.36m, while Jena’s best attempt was 76.31m. Jena finished ninth.

Country’s top quarter milers, after successfully booking relay berths in 4x400m relay event at the just concluded World Athletics Relay in Bahamas, will test themselves in an individual event in Bhubaneswar. “Will be running an individual 400m here in Odisha to improve my world ranking,” was Amoj Jacob’s response during media interaction on Saturday.

The 400m qualification round is scheduled for May 14. The medal round will be on May 15.

Jacob ran anchor leg in the men’s 4x400m during the second round of Paris Olympic Games qualification in Bahamas. “It was a challenging situation during the second round of Olympic Games qualification but the team was confident of making the cut for the Olympic Games,” Jacob added. “We are happy to have booked tickets for relay events to Paris.”

Apart from Jacob, Muhammad Ajmal (men), Jyothika Sri Dandi and Subha V (women) will be seen in action during the four-day competition.

Radhakrishnan Nair, chief athletics coach said, the 63rd National Inter State Senior Athletics Championships from June 27 to 30 in Panchkula, Haryana, will be the last domestic competition for the athletes to make the cut for the Paris Olympic Games. “The deadline to qualify for the Paris Olympic Games is June 30. It is mandatory for all athletes to compete in Panchkula to prove themselves,” chief athletics coach added. “There are few exceptions but the majority of aspiring athletes aiming to make the cut for the Paris Olympic Games will be in action in Panchkula.”

According to the chief athletics coach, the race walking event has been scrapped in Panchkula as the core group of race walkers who have qualified for Paris Olympic Games wanted more time to recover from the World Athletics Race Walking Team Championships held on April 21 in Turkey. “Five male race walkers have achieved Paris Olympic Games qualification time, but only the top three will be selected for the Olympic Games scheduled to be held in Paris from July 26.”

Chief athletics coach was hopeful of a better and steady performance in Bhubaneswar after a series of warm up domestic competitions conducted in March and April. “Bhubaneswar will be a good platform for the athletes to further assess their performance,” he explained.

Athletes from Bangladesh and Maldives have also confirmed their entries for the National Federation Senior Athletics Competition, chief athletics coach said. The domestic meet in Bhubaneswar is sponsored by the Odisha government.",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2024/05/Article-Neeraj.jpg,https://indianathletics.in/star-javelin-throw-neeraj-chopra-adds-spice-to-domestic-competition-in-bhubaneswar/,Athletics
"Two Indians javelin throwers will join 90m club in future, says world champion Neeraj Chopra","October 11, 2023","AFI Media

New Delhi

India’s world and Olympic champion Neeraj Chopra on Wednesday said domestic competition in javelin throw will be more exciting in future. The 25 years old star javelin thrower categorically pointed towards Odisha’s rising javelin thrower and Asian Games silver medalist Kishore Kumar Jena.

“In future I see two Indian javelin throwers joining the 90m club,” Chopra said on the sidelines of a felicitation ceremony of the Asian Games athletics contingent by the Athletics Federation of India (AFI).

Chopra started his season by winning javelin at Doha Diamond League in May but pulled his groin and had to skip a couple of international events. However, he recovered from the niggle and bounced back to win gold at the 2023 World Athletics Championships held in Hungary and successfully defended his title at the Asian Games.

Chopra revealed that Jena’s performance during the just concluded 19th Asian Games in Hangzhou acted as a catalyst to rekindle his energy.

“It was a healthy rivalry between me and Jena during the medal round in the men’s javelin throw in Hangzhou,” Chopra added.

While Chopra won the gold with a throw of 88.88m, Jena settled for silver with a throw of 87.54m.

But at one juncture of the javelin competition in Hangzhou, Jena took the pole position with a throw of 86.77m While Chopra was trailing at second spot with a throw of 84.49m.

The lead was temporary as Chopra dug deep into his reservoir to hurl the spear to a distance of 88.88m to win gold. Jena’s best throw of 87.54m fetched him silver.

At the 19th Asian Games, Indian athletics contingent won 29 medals, six of them gold, 14 silver and nine bronze.

Adille Sumariwalla, president, AFI said the Indian squad could have enhanced the gold medal tally in Hangzhou but didn’t capitalize on the chances. “I will say it was a bad miss in middle distance events and women’s 4x400m relay at the Asian Games,” Sumariwalla added.

Sumariwalla, who is one of the vice presidents at the World Athletics said the Indian athletes also gave a good account of their performance at the Budapest World Athletics Championship held between August 19 to 27. “While Neeraj Chopra was crowned world champion, Jena and Manu DP were in top six, which suggest the growing stature of Indian javelin throwers at the global stage,” Sumariwalla added.

Besides the javelin throw, the men’s 4x400m relay team was impressive and shattered the Asian record during heats at the World Athletics Championships. The national team eventually finished fifth in the final and clocked 2:59.92 seconds.

“The outstanding performance in a packed 2023 season was a big boost to the confidence of the Indian athletes ahead of the 2024 Paris Olympic Games,” Sumariwalla added.",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2023/10/Article-Banner-Neeraj-Article-New-1.jpg,https://indianathletics.in/two-indians-javelin-throwers-will-join-90m-club-in-future-says-world-champion-neeraj-chopra/,Athletics
2nd National Javelin Day to celebrate the victory of Neeraj Chopra in 2020 Tokyo Olympics,"August 7, 2023",,Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2023/10/Article-Banner-Neeraj-Article-New-1.jpg,https://indianathletics.in/afi_event/2nd-national-javelin-day-to-celebrate-the-victory-of-neeraj-chopra-in-2020-tokyo-olympics/,Athletics
1st NATIONAL JAVELIN COMPETITION 2022 to celebrate the date of victory of Neeraj Chopra who won the first medal in Athletics at the Tokyo Olympics (To be conducted in all States/UTs across India),"August 7, 2022",,Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2023/10/Article-Banner-Neeraj-Article-New-1.jpg,https://indianathletics.in/afi_event/1st-national-javelin-competition-to-celebrate-the-date-of-victory-of-neeraj-chopra-who-won-the-first-medal-in-athletics-at-the-tokyo-olympics-to-be-conducted-in-all-states-uts-across-india/,Athletics
Neeraj Chopra pulls out of the CWG Due to Fitness Concerns,"July 26, 2022","AFI Media

New Delhi, July 27: Fitness concerns will prevent Olympic Games Javelin Throw champion, Neeraj Chopra, from competing in the Commonwealth Games beginning in Birmingham on July 28. He suffered a minor injury when competing at the World Athletics Championships Oregon22 in Eugene on Sunday and made the decision after an MRI scan on Monday.

Athletics Federation of India President Adille Sumariwalla said Neeraj Chopra had requested AFI to inform the Indian Olympic Association (IOA) that he would not be in a position to be the flag-bearer of the Indian contingent in Birmingham.

“Neeraj has said that since he is not 100 per cent fit to compete at the Commonwealth Games, he would not be the flag bearer of the Indian contingent at the athletes’ parade in the opening ceremony,” Mr. Sumariwalla said. “Neeraj appeared to be struggling on Sunday during the finals at the World Championships. We are in constant touch with him to assist his recovery.”

On Sunday, Neeraj Chopra became India’s first male athlete to win a medal at the World Championships with an effort of 88.13m in the final at Hayward Field. He won a silver medal while Grenada’s Anderson Peters grabbed the gold with his best attempt of 90.54m.",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2022/07/neeraj-not-in-cwg-2022-750-420.jpg,https://indianathletics.in/neeraj-chopra-pulls-out-of-the-cwg-due-to-fitness-concerns/,Athletics
Neeraj Chopra headlines 37-member Indian team selected for Commonwealth Games,"June 16, 2022","AFI Media

New Delhi, June 16: Olympic Games Javelin Throw gold medallist Neeraj Chopra headlines the 37-member squad named by the Athletics Federation of India (AFI) on Thursday to compete in the Commonwealth Games in Birmingham from July 28 to August 8 this year. AFI President expressed confidence that the squad would deliver quality performances.

The squad includes three men Javelin Throwers in Neeraj Chopra, DP Manu and Rohit Yadav and three Triple Jumpers in Abdulla Aboobacker, Praveen Chithravel and Eldhose Paul.

“We are requesting the Indian Olympic Association to increase our quota by one and to assist in securing accreditation for a couple of athletes. We have also selected a few subject to their proving their fitness and form before the Games,” Mr. Sumariwalla said.

“Shot Puttter Tajinderpal Singh Toor will have to perform well in Kazakhstan while Amoj Jacob has been selected subject to his recovery and fitness level,” the AFI President said. “Similarly, Discus Throwers Navjeet Kaur Dhillon and Seema Antil Punia as well as Hammer Thrower Sarita Singh will have to perform in Kazakhstan or California. Race walker Bhawna Jat will have to prove her fitness.”

Mr. Sumariwalla also said Avinash Sable, Neeraj Chopra and Seema Antil Punia, who are training overseas, sought and were granted exemption from appearing in the National Inter-State Athletics Championships in Chennai.

The team:

Men: Avinash Sable (3000m Steeplechase); Nitender Rawat (Marathon); M Sreeshankar and Muhammed Anees Yahiya (Long Jump); Abdulla Aboobacker, Praveen Chithravel and Eldhose Paul (Triple Jump); Tajinderpal Singh Toor (Shot Put); Neeraj Chopra, DP Manu and Rohit Yadav (Javelin Throw); Sandeep Kumar and Amit Khatri (Race Walking); Amoj Jacob, Noah Nirmal Tom, Arokia Rajiv, Muhammed Ajmal, Naganathan Pandi and Rajesh Ramesh (4x400m Relay).

Women: S Dhanalakshmi (100m and 4x100m relay); Jyothi Yarraji (100mHurdles); Aishwarya B (Long Jump and Triple Jump) and Ancy Sojan (Long Jump); Manpreet Kaur (Shot Put); Navjeet Kaur Dhilllon and Seema Antil Punia (Discus Throw); Annu Rani and Shilpa Rani (Javelin Throw); Manju Bala Singh and Sarita Romit Singh (Hammer Throw); Bhawna Jat and Priyanka Goswami (Race Walking); Hima Das, Dutee Chand, Srabani Nanda, MV Jilna and NS Simi (4x100m relay).",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2022/06/Neeraj-Chopbra-Article.jpg,https://indianathletics.in/neeraj-chopra-headlines-37-member-indian-team-selected-for-commonwealth-games/,Athletics
Neeraj Chopra launches Kids’ Javelin to build on the momentum of his Olympic Gold,"May 29, 2022","AFI Media

Chandigarh, May 29: Athletics Federation of India (AFI) on Sunday launched a Kids’ Javelin to sustain the momentum sparked by Neeraj Chopra’s Olympic Games gold medal in Tokyo. The Kids’ Javelin, designed and made by Vinex Sports, weighs just 300gm and will ensure safety of the athletes and everyone else around in the playfield. Neeraj Chopra himself launched the Kids’ Javelin through a video message from his overseas training location.

World Athletics Championships Long Jump silver medalist Anju Bobby George, AFI Senior Vice-President and 1962 Asian Games Decathlon gold medalist Gurbachan Singh Randhawa, AFI Selection Committee Chairman, were the first to receive the Kids’ Javelin from Vinex Sports Managing Director Ashuthosh Bhalla.

“We cannot let go of the spike in interest for athletics among youngsters in India. We had a Ball Throw event for Under-14 athletes, but we aim to replace that with the Kids’ Javelin Throw,” AFI President Adille J. Sumariwalla told a media conference at the end of the two-day Annual General Assembly Meeting of the Federation at Hotel Shivalik here on Sunday.

“We have firmed up plans to widen the base of athletics even further and to provide better support to the athletes in both the development and elite stage. We are galvanizing the State and District Associations to draw more youngsters to our sport. For the best athletes in the country, we have got coaches from overseas to help their evolution,” he said.

AFI Planning Committee Chairman Dr. Lalit K. Bhanot said the Federation was happy that athletes were showing improvement in many disciplines. “We are happy that we have three Triple Jumpers who have breached the 17m mark. We have grown in our traditional strength in the 400m and our young race walkers are showing promise,” he said.

In a major push towards digitalization across the board, AFI’s Units agreed to adopt an online entry system with an e-payment gateway for their respective State and Union Territory Championships. “Besides ensuring digital records of meets held around India, this move will help reduce the menage of age manipulation to a great extent,” Mr. Sumariwalla said.

He said AFI reiterated its zero tolerance policy against doping in the AGM. “We are working with the National Anti-Doping Agency to try and keep our sport clean at all levels. We are educating our athletes, sharing intelligence with NADA about coaches and others suspected to be either carrying prohibited substances or encouraging younger athletes,” he said.

AFI also amended its Constitution in keeping with the Government’s request for compliance with the National Sports Code. It also resolved to enhance the popularity of its flagship National Inter-District Junior Athletics Meet (NIDJAM). “We put systems and processes in place to ensure that track and field sport grows in the country,” Mr. Sumariwalla said.",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2022/05/neeraj-launches-750-420.jpg,https://indianathletics.in/neeraj-chopra-launches-kids-javelin-to-build-on-the-momentum-of-his-olympic-gold/,Athletics
Buy Exclusive Authentic T-Shirt of Neeraj Chopra only from Athletics Federation of India website,"August 26, 2021",,Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2021/08/Article-banner-12344.png,https://indianathletics.in/buy-exclusive-authentic-t-shirt-of-neeraj-chopra-only-from-athletics-federation-of-india-website/,Athletics
AFI decides to mark August 7 every year as National Javelin Day to honour Olympic gold medalist Neeraj Chopra,"August 10, 2021","AFI Media

New Delhi, August 10: The Athletics Federation of India has announced that August 7 each year would be celebrated as National Javelin Throw Day with competitions in all States and Union Territories to commemorate Neeraj Chopra’s feat of winning the country’s first athletics gold medal in the Olympic Games in Tokyo with a throw of 87.58m on Saturday.

“We will celebrate August 7 as National Javelin Day from next year to mark Neeraj’s victory. All our affiliated units will hold Javelin competitions in the respective States (and Union Territories). And a year later, we will get all our 600-plus district units also to have similar competitions on August7,” said AFI Planning Committee Chairman Lalit K. Bhanot at function to felicitate him.

The 23-year-old Neeraj Chopra, India’s first Olympic medallist in track and field sport, said he was humbled by the announcement. “I am feeling good that the AFI is making my achievement to be remembered in the years to come. I will be happier if my gold medal win inspires youngsters to take to athletics, especially Javelin Throw,” he said.

“If the children are getting the Javelins and other facilities, I am sure they will come and take up the sport. I will be happy to cheer for them and they can be medal winners in the future, he told reporters at the media interaction that followed the wonderful felicitation ceremony at the well-appointed Taj Palace banquet hall.

He said the turning point in his career was his inclusion in the National Camp after he finished fifth in the National Games in Kerala in 2015. “Everything changed after my joining the National Camp – equipment, training facilities and diet. The feeling of training with the best javelin throwers in the country was special,” he said.

“I had already won the gold in Commonwealth Games and Asian Games and now the Olympic Games. So, my next target is the gold in the World Athletics Championships (in Oregon) next year. The World Championships is a big competition and sometimes tougher than the Olympic Games.

“I am not going to be content with this Olympic gold. I will want to win the Commonwealth Games, Asian Games and Olympic Games titles again,” he said, pointing out that he was concerned about a few athletes testing positive for Covid-19 in the Games Village and that he was worried for himself.

AFI Senior Vice-President Anju Bobby George, the first Indian to win a World Athletics Championships medal when she picked up Long Jump bronze in 2003, said she was proud of Neeraj Chopra’s achievement that had ended a long wait for an athletics medal at the Olympic Games.

The AFI also felicitated Men’s 4x400m relay team that set a new Asian record at a time of 3:00.25, Kamalpreet Kaur who finished sixth in Women’s discus throw event with an effort of 63.70m and Avinash Sable who improved his own national record in the Men’s 3000m steeplechase event with a time of 8min 18.12sec at the Tokyo Olympic Games.",Neeraj Chopra,https://indianathletics.in/wp-content/uploads/2021/08/AFI-honors-750-420.jpg,https://indianathletics.in/afi-decides-to-mark-august-7-every-year-as-national-javelin-day-to-honour-olympic-gold-medalist-neeraj-chopra/,Athletics
